,r2,rmse,strain,closest_strain,distance,ith
282,-0.5284867526864447,1.236319842389683,PAg1,PH,0.57417504,16.0
283,-1.9052373879632025,1.7044756929810403,PAg1,PP,0.5884943,17.0
284,-0.9916356219793969,1.411253209732185,PAg1,PK,0.60122808,18.0
285,0.08566392983289384,0.9562092188256205,PAl,PAg3,0.0808708,0.0
286,0.24108522477275918,0.8711571472629049,PAl,PAg1,0.08981146,1.0
287,-0.44497183503244697,1.2020698128779563,PAl,PAg2,0.11392239,2.0
288,0.2980444490809656,0.8378278766662255,PAl,EL,0.15992701,3.0
289,0.04362924037154048,0.97794210443587,PAl,BI,0.1874183,4.0
290,0.10667039417345603,0.945161153363037,PAl,CF,0.19455785,5.0
291,-3.001611755450747,2.0004028982809317,PAl,EC,0.20048529,6.0
292,0.04254541019958624,0.978496085735867,PAl,LA,0.2040118,7.0
293,0.17760568562083168,0.906859589120151,PAl,RP1,0.20612384,8.0
294,0.12906830084538934,0.9332372148358701,PAl,KA,0.20674396,9.0
295,0.1876104390626494,0.9013265562144227,PAl,RP2,0.20924932,10.0
296,0.034035865496987894,0.9828347442490072,PAl,SF1,0.27601259,11.0
297,-0.11575070166399204,1.05629101182581,PAl,EA,0.28234777,12.0
298,-0.7512522497173464,1.323348876796041,PAl,PAr,0.61842831,13.0
299,-0.10208957362377946,1.0498045406759218,PAl,PR1,0.63530773,14.0
300,-0.9278203415871391,1.3884597011030388,PAl,PR2,0.6443549,15.0
301,-0.5828615130428763,1.2581182428702307,PAl,PH,0.65330798,16.0
302,-1.8279821165800376,1.6816605235837705,PAl,PP,0.66762724,17.0
303,-1.0413043291389807,1.4287422192750467,PAl,PK,0.68036102,18.0
304,0.7738152964097985,0.4755887967458871,PAg3,PAg1,0.05981588,0.0
305,0.3055529894015869,0.833334873024293,PAg3,PAl,0.0808708,1.0
306,0.28075881711934014,0.8480808822751884,PAg3,PAg2,0.08392681,2.0
307,0.48642467121223854,0.7166417018202067,PAg3,EL,0.12993143,3.0
308,0.2161846214523001,0.8853334843705511,PAg3,BI,0.15742272,4.0
309,0.24424463013980513,0.869341917694181,PAg3,CF,0.16456227,5.0
310,-2.15075667940514,1.7750370924026204,PAg3,EC,0.17048971,6.0
311,0.3810545495281582,0.7867308627935254,PAg3,LA,0.17401622,7.0
312,0.12045467067098758,0.9378407803721347,PAg3,RP1,0.17612826,8.0
313,0.17596383403655458,0.907764377998743,PAg3,KA,0.17674838,9.0
314,0.20685558461820874,0.8905865569285166,PAg3,RP2,0.17925374,10.0
315,-0.0971139185841976,1.0474320591733868,PAg3,SF1,0.24601701,11.0
316,0.33545670294720586,0.8151952508772319,PAg3,EA,0.25235219,12.0
317,-0.5548090975912976,1.2469198440923506,PAg3,PAr,0.58843273,13.0
318,-0.13111850102138778,1.0635405497776698,PAg3,PR1,0.60531215,14.0
319,-0.45062786196572713,1.2044201351545585,PAg3,PR2,0.61435932,15.0
320,-0.32230836737764124,1.1499166784500703,PAg3,PH,0.6233124,16.0
321,-1.4543996468862757,1.5666523695083958,PAg3,PP,0.63763166,17.0
322,-0.7540889693959982,1.3244202389710005,PAg3,PK,0.65036544,18.0
323,0.08561185311953867,0.9562364492532484,PH,PAr,0.04313131,0.0
324,-0.06884729438309267,1.0338507118453308,PH,PP,0.04344726,1.0
325,0.35326873994618746,0.8041960333487198,PH,PR1,0.05578767,2.0
