,acc,mcc,Recall,Precision,strain,closest_strain,distance,ith
142,0.7084569732937686,0.2485304163201003,0.4619883040935672,0.4305177111716621,RP1,PAg2,0.13198585,9.0
143,0.6687898089171974,0.19149274843063474,0.46408839779005523,0.38009049773755654,RP1,EC,0.13259929,10.0
144,0.7636489288182446,0.3253227825350981,0.4076086956521739,0.5474452554744526,RP1,PAg3,0.17612826,11.0
145,0.7697138869504536,0.33350678490364394,0.4117647058823529,0.550561797752809,RP1,PAl,0.20612384,12.0
146,0.7048730267673301,0.1455657145002807,0.2826086956521739,0.3851851851851852,RP1,PAr,0.59353131,13.0
147,0.6912280701754386,0.15972439977525105,0.3443526170798898,0.382262996941896,RP1,PR1,0.61041073,14.0
148,0.6845360824742268,0.12908064479239637,0.3116531165311653,0.359375,RP1,PR2,0.6194579,15.0
149,0.6716845878136201,0.12363456278512384,0.33147632311977715,0.35311572700296734,RP1,PH,0.62841098,16.0
150,0.6023759608665269,-0.0008431696479032569,0.2872628726287263,0.25728155339805825,RP1,PP,0.64273024,17.0
151,0.6645962732919255,0.07895751272995426,0.2791327913279133,0.3188854489164087,RP1,PK,0.65546402,18.0
152,0.6704304869442484,0.17475388867869834,0.40992167101827676,0.3944723618090452,EA,SF1,0.0896435,0.0
153,0.6808659217877095,0.16585464983651466,0.35279187817258884,0.40762463343108507,EA,RP1,0.08988529,1.0
154,0.703281027104137,0.1709987783849875,0.2955145118733509,0.42911877394636017,EA,RP2,0.09301077,2.0
155,0.7031141868512111,0.21333492310698218,0.37659033078880405,0.4457831325301205,EA,LA,0.12510595,3.0
156,0.7344827586206897,0.2972493881987502,0.4318181818181818,0.5166163141993958,EA,BI,0.13067939,4.0
157,0.7540069686411149,0.31609980506351476,0.37948717948717947,0.5714285714285714,EA,CF,0.13781894,5.0
158,0.7270233196159122,0.23909710024679515,0.33249370277078083,0.4981132075471698,EA,EL,0.14364686,6.0
159,0.745493871665465,0.33218570417139504,0.45454545454545453,0.550314465408805,EA,KA,0.15000505,7.0
160,0.7506925207756233,0.30684306245781434,0.37055837563451777,0.5658914728682171,EA,PAg1,0.20321483,8.0
161,0.711764705882353,0.2784868382707334,0.48509485094850946,0.46981627296587924,EA,PAg2,0.20820978,9.0
162,0.670205237084218,0.2018056206788227,0.45524296675191817,0.41299303944315546,EA,EC,0.20882322,10.0
163,0.7922705314009661,0.43324230605823194,0.4720812182741117,0.6666666666666666,EA,PAg3,0.25235219,11.0
164,0.7142857142857143,0.20275150686357493,0.3153846153846154,0.458955223880597,EA,PAl,0.28234777,12.0
165,0.7136986301369863,0.2081932089614906,0.32,0.46715328467153283,EA,PAr,0.66975524,13.0
166,0.685133239831697,0.16456884896227958,0.336734693877551,0.411214953271028,EA,PR1,0.68663466,14.0
167,0.6792582417582418,0.14942734616776426,0.3275,0.3981762917933131,EA,PR2,0.69568183,15.0
168,0.6776034236804565,0.1433621311839778,0.33156498673740054,0.38461538461538464,EA,PH,0.70463491,16.0
169,0.6731843575418994,0.200133084694827,0.4475703324808184,0.4098360655737705,EA,PP,0.71895417,17.0
170,0.6940041350792557,0.18886693976462737,0.3604060913705584,0.4251497005988024,EA,PK,0.73168795,18.0
171,0.7644163150492265,0.4005593711907947,0.5109489051094891,0.6104651162790697,SF1,RP1,0.08355011,0.0
172,0.7640692640692641,0.37269080157998774,0.4221105527638191,0.6339622641509434,SF1,RP2,0.08667559,1.0
173,0.6694855532064834,0.16476065490183078,0.37037037037037035,0.41208791208791207,SF1,EA,0.0896435,2.0
174,0.7733612273361228,0.42061554280247093,0.5169082125603864,0.6312684365781711,SF1,LA,0.11877077,3.0
175,0.7905358385525401,0.4580008602883868,0.5242718446601942,0.6728971962616822,SF1,BI,0.12434421,4.0
176,0.7676056338028169,0.3769858428431911,0.40786240786240785,0.6509803921568628,SF1,CF,0.13148376,5.0
177,0.7517337031900139,0.33661005585589643,0.3961352657004831,0.6029411764705882,SF1,EL,0.13731168,6.0
178,0.7699564586357039,0.4069736691478098,0.5012658227848101,0.6226415094339622,SF1,KA,0.14366987,7.0
179,0.7233449477351916,0.24449169594708148,0.31873479318734793,0.5282258064516129,SF1,PAg1,0.19687965,8.0
180,0.7096296296296296,0.27755310719440396,0.47368421052631576,0.4838709677419355,SF1,PAg2,0.2018746,9.0
181,0.7053380782918149,0.30269833023403303,0.5343137254901961,0.49321266968325794,SF1,EC,0.20248804,10.0
182,0.7217573221757322,0.24610012577379045,0.3309002433090024,0.5230769230769231,SF1,PAg3,0.24601701,11.0
183,0.7043539325842697,0.19385276832554954,0.3092269326683292,0.4626865671641791,SF1,PAl,0.27601259,12.0
184,0.6934256055363321,0.16933722111411326,0.2891566265060241,0.44776119402985076,SF1,PAr,0.66342006,13.0
185,0.6737138830162086,0.1535908172644751,0.3260340632603406,0.41875,SF1,PR1,0.68029948,14.0
186,0.646814404432133,0.07635266309298566,0.27228915662650605,0.35202492211838005,SF1,PR2,0.68934665,15.0
187,0.6300287356321839,0.04032246495740225,0.2581453634085213,0.3198757763975155,SF1,PH,0.69829973,16.0
188,0.5984528832630098,0.022283066776481546,0.3071253071253071,0.30193236714975846,SF1,PP,0.71261899,17.0
189,0.6666666666666666,0.1323373130274884,0.3131067961165049,0.39814814814814814,SF1,PK,0.72535277,18.0
190,0.8518263266712612,0.5552461220390392,0.5637982195845698,0.7364341085271318,BI,CF,0.01606217,0.0
191,0.864153627311522,0.621454983784659,0.7112462006079028,0.7090909090909091,BI,KA,0.02824828,1.0
192,0.8082655826558266,0.43167208493841863,0.5,0.607773851590106,BI,EL,0.04871739,2.0
193,0.784394250513347,0.39693769916608984,0.5319767441860465,0.543026706231454,BI,LA,0.05234342,3.0
194,0.7924137931034483,0.42394620250667653,0.5753012048192772,0.5441595441595442,BI,RP1,0.05445546,4.0
195,0.801980198019802,0.4143292334333414,0.48493975903614456,0.5962962962962963,BI,RP2,0.05758094,5.0
196,0.7968536251709987,0.38139216903998013,0.4491017964071856,0.5703422053231939,BI,PAg1,0.10828536,6.0
197,0.7238372093023255,0.28318913748994806,0.5189873417721519,0.41836734693877553,BI,PAg2,0.11328031,7.0
198,0.7075736325385694,0.2704293741488399,0.536144578313253,0.4036281179138322,BI,EC,0.11389375,8.0
199,0.7874564459930313,0.45591570155701855,0.6676737160120846,0.53125,BI,SF1,0.12434421,9.0
200,0.733103448275862,0.29072526724711706,0.5014836795252225,0.43556701030927836,BI,EA,0.13067939,10.0
201,0.7961826857532379,0.3894031650011136,0.4604105571847507,0.5772058823529411,BI,PAg3,0.15742272,11.0
202,0.7592592592592593,0.27003843754901724,0.3806646525679758,0.4632352941176471,BI,PAl,0.1874183,12.0
203,0.7467752885268161,0.24301728601271272,0.36257309941520466,0.4444444444444444,BI,PAr,0.57482577,13.0
204,0.7141868512110726,0.19337417787274316,0.375,0.3829787234042553,BI,PR1,0.59170519,14.0
205,0.6865267433987813,0.11095313623256502,0.31085043988269795,0.31736526946107785,BI,PR2,0.60075236,15.0
206,0.6716206652512385,0.07893830076233438,0.29721362229102166,0.2882882882882883,BI,PH,0.60970544,16.0
207,0.63216011042098,0.05178168050568971,0.3333333333333333,0.2660332541567696,BI,PP,0.6240247,17.0
208,0.7130197682344922,0.19163011275893813,0.375366568914956,0.38095238095238093,BI,PK,0.63675848,18.0
209,0.865370770338373,0.6052573625339502,0.6060606060606061,0.7782101167315175,KA,CF,0.02688019,0.0
210,0.8644428672817601,0.6240817742108665,0.7095808383233533,0.716012084592145,KA,BI,0.02824828,1.0
211,0.8107344632768362,0.4407313446401715,0.5,0.6231343283582089,KA,EL,0.06804305,2.0
212,0.7881597717546363,0.412189052307516,0.5432835820895522,0.558282208588957,KA,LA,0.07166908,3.0
213,0.7873563218390804,0.4122343155889827,0.558282208588957,0.5449101796407185,KA,RP1,0.07378112,4.0
214,0.8021978021978022,0.4199803367217549,0.49074074074074076,0.6022727272727273,KA,RP2,0.0769066,5.0
215,0.7940340909090909,0.37706936450679235,0.43902439024390244,0.576,KA,PAg1,0.12761102,6.0
216,0.7256371814092953,0.2820877534766494,0.5097402597402597,0.4220430107526882,KA,PAg2,0.13260597,7.0
217,0.7052401746724891,0.26464516693423906,0.5277777777777778,0.40425531914893614,KA,EC,0.13321941,8.0
218,0.7643219724437998,0.401591861005112,0.6207951070336392,0.5024752475247525,KA,SF1,0.14366987,9.0
219,0.7447879223580158,0.32891850372953024,0.5317220543806647,0.46808510638297873,KA,EA,0.15000505,10.0
