,labeledStrain,env,monoGrow24
565,PP,Fructose,1115.9075108094128
566,PP,Galactose,-84.76155150949545
567,PP,Glucose,-39.00558579260587
568,PP,Glucose01,121.44715077290266
569,PP,Mannose,-16.382110478389905
570,PP,GlcNAc,-95.38165156724392
571,PP,Acetate,207.92033040781257
572,PP,Pyruvate,285.63430719797003
573,PP,Pyruvate01,21.07331503187038
574,PP,Fumarate,1107.1714607269012
575,PP,Succinate,1077.980967660519
576,PP,Citrate,776.247381885047
577,PP,Glycerol,58.72727253663425
578,PP,Glycerol01,36.34144084927971
579,PP,Mannitol,-81.90416163098506
580,PP,Sorbitol,-85.46788689443952
581,PP,Alanine,309.4180475989914
582,PP,Serine,11.218155611737645
583,PP,Proline,974.527541334245
584,PP,Proline01,62.303215636347424
585,PP,Glutamine,1410.1081216539212
586,PP,Arginine,569.6400490140672
587,PP,Trehalose,-92.66342511945686
588,PP,Cellobiose,-87.18117872773563
589,PP,Maltose,-91.68654546369646
590,PP,Sucrose,-83.64921268719297
591,PP,Sucrose01,-80.3586491216364
592,PP,Lactose,-91.65209933241637
593,PP,Raffinose,-96.77438168714788
594,PP,Melezitose,-84.70469717866592
595,PP,Arabinogalactan,-60.441770119614496
596,PP,Isoleucine,12.394108068557784
597,PP,Uridine,-72.12720069392196
598,PP,Mix,1207.835607764072
599,PP,Water,-90.94653514258243
600,PR1,ArabinoseD,-118.09320289520258
601,PR1,ArabinoseL,203.1799925124417
602,PR1,Xylose,-95.51499725188488
603,PR1,Ribose,-94.33195004610548
604,PR1,Rhamnose,-92.20204090317054
605,PR1,Fructose,-89.7994943638862
606,PR1,Galactose,63.36795143458368
607,PR1,Glucose,628.8649853514722
608,PR1,Glucose01,92.48752557718024
609,PR1,Mannose,64.7205603258634
610,PR1,GlcNAc,-97.51044932450668
611,PR1,Acetate,-74.89519611220658
612,PR1,Pyruvate,81.26703349126069
613,PR1,Pyruvate01,-19.228024948394925
614,PR1,Fumarate,792.9495924122277
615,PR1,Succinate,886.1730065213043
