labeledStrain,env,monoGrow
EL,Xylose,881.0785403
EL,Ribose,817.7644659
EL,Rhamnose,401.6829929
EL,Fructose,641.4278872
EL,Galactose,984.0596099
EL,Glucose,546.7639875
EL,Glucose01,56.26884538
EL,Mannose,722.0398761
EL,GlcNAc,482.4285663
EL,Acetate,337.8699023
EL,Pyruvate,400.8996756
EL,Pyruvate01,49.21693108
EL,Fumarate,269.7371814
EL,Succinate,564.6809217
EL,Citrate,377.1479789
EL,Glycerol,651.9807415
EL,Glycerol01,107.6965955
EL,Mannitol,533.2065005
EL,Sorbitol,593.0493267
EL,Alanine,563.6312208
EL,Serine,40.42155226
EL,Proline,406.9154221
EL,Proline01,105.2992857
EL,Glutamine,569.9493789
EL,Arginine,14.2141903
EL,Trehalose,520.8941611
EL,Cellobiose,520.2544446
EL,Maltose,665.114234
EL,Sucrose,548.6803869
EL,Sucrose01,37.17501106
EL,Lactose,24.46639909
EL,Raffinose,514.0158805
EL,Melezitose,11.58423869
EL,Arabinogalactan,30.02015896
EL,Isoleucine,0.393566165
EL,Uridine,129.0743632
EL,Mix,434.3959966
EL,Water,0
PK,ArabinoseD,20.86980932
PK,ArabinoseL,6794.826846
PK,Xylose,6247.327629
PK,Ribose,5321.278713
PK,Rhamnose,19.34071801
PK,Fructose,4369.451626
PK,Galactose,5162.716981
PK,Glucose,6356.45622
PK,Glucose01,853.7567848
PK,Mannose,1278.006574
PK,GlcNAc,76.69164428
PK,Acetate,2399.145788
PK,Pyruvate,5656.948072
PK,Pyruvate01,955.7720498
PK,Fumarate,3181.241737
PK,Succinate,3739.399274
PK,Citrate,2640.44347
PK,Glycerol,3179.974419
PK,Glycerol01,1257.409652
PK,Mannitol,5323.867562
PK,Sorbitol,76.55161216
PK,Alanine,3301.869277
PK,Serine,-6.424856398
PK,Proline,7612.040343
PK,Proline01,1143.234254
PK,Glutamine,3842.54987
PK,Arginine,2924.500954
PK,Trehalose,-1.762616153
PK,Cellobiose,8.890585419
PK,Maltose,-22.86760913
PK,Sucrose,-15.55328773
PK,Sucrose01,7.111947076
PK,Lactose,-9.222377746
PK,Raffinose,-1.786464337
PK,Melezitose,-3.415649221
PK,Arabinogalactan,439.3079559
PK,Isoleucine,75.21109302
PK,Uridine,1907.344931
PK,Mix,5401.550267
PK,Water,0
KA,ArabinoseD,5.950916523
KA,ArabinoseL,1267.185468
KA,Xylose,1218.447444
KA,Ribose,1254.847351
KA,Rhamnose,640.8534326
KA,Fructose,1051.98821
KA,Galactose,1080.917147
KA,Glucose,977.7130799
KA,Glucose01,55.67549125
KA,Mannose,1208.075909
KA,GlcNAc,838.1604174
KA,Acetate,86.05120162
KA,Pyruvate,575.07254
KA,Pyruvate01,59.00475842
KA,Fumarate,8.136974385
KA,Succinate,-0.310589036
KA,Citrate,346.7810293
KA,Glycerol,318.9121269
KA,Glycerol01,103.063435
KA,Mannitol,1039.665335
KA,Sorbitol,1260.994592
KA,Alanine,734.1167455
KA,Serine,74.45514965
KA,Proline,167.9925439
KA,Proline01,90.95631621
KA,Glutamine,728.57138
KA,Arginine,8.239579185
KA,Trehalose,1277.856607
KA,Cellobiose,1312.868357
KA,Maltose,1016.014398
KA,Sucrose,8.461433748
KA,Sucrose01,-7.400368724
KA,Lactose,1131.634903
KA,Raffinose,1.663556757
KA,Melezitose,4.49688524
KA,Arabinogalactan,8.526779592
KA,Isoleucine,-8.742457189
KA,Uridine,305.6284605
KA,Mix,672.5066576
KA,Water,0
PAl,ArabinoseD,-8.06855257
PAl,ArabinoseL,755.5035422
PAl,Xylose,753.4142182
PAl,Ribose,358.8712166
PAl,Rhamnose,51.59125865
PAl,Fructose,681.1760995
PAl,Galactose,324.5312202
PAl,Glucose,640.9109579
PAl,Glucose01,24.70449388
PAl,Mannose,462.4562098
PAl,GlcNAc,104.8927423
PAl,Acetate,55.98748073
PAl,Pyruvate,243.3419865
PAl,Pyruvate01,61.1511863
PAl,Fumarate,193.3937302
PAl,Succinate,422.6449981
PAl,Citrate,287.2254931
PAl,Glycerol,326.4561931
PAl,Glycerol01,80.90633704
PAl,Mannitol,393.9878314
PAl,Sorbitol,879.7215944
PAl,Alanine,256.1740682
PAl,Serine,38.16800126
PAl,Proline,275.2525442
PAl,Proline01,23.26606033
PAl,Glutamine,402.5597567
PAl,Arginine,2.591348621
PAl,Trehalose,755.2472702
PAl,Cellobiose,767.340404
PAl,Maltose,-16.36876273
PAl,Sucrose,859.305017
PAl,Sucrose01,38.83647778
PAl,Lactose,658.7399065
PAl,Raffinose,117.9165668
PAl,Melezitose,-1.779635627
PAl,Arabinogalactan,5.869899588
PAl,Isoleucine,-1.62489276
PAl,Uridine,24.26165224
PAl,Mix,787.6045154
PAl,Water,0
PH,ArabinoseD,25.61804785
PH,ArabinoseL,35.78562378
PH,Xylose,42.73325434
PH,Ribose,1044.165182
PH,Rhamnose,47.00770465
PH,Fructose,1174.03396
PH,Galactose,2097.682882
PH,Glucose,5940.261662
PH,Glucose01,1125.867885
PH,Mannose,1693.274265
PH,GlcNAc,5123.533732
PH,Acetate,2146.296509
PH,Pyruvate,4603.234597
PH,Pyruvate01,1050.597359
PH,Fumarate,3358.26005
PH,Succinate,3656.818918
PH,Citrate,3321.890104
PH,Glycerol,2709.972089
PH,Glycerol01,1658.161982
PH,Mannitol,4786.871065
PH,Sorbitol,115.9222315
PH,Alanine,5039.311843
PH,Serine,4126.210112
PH,Proline,6482.572831
PH,Proline01,1350.134655
PH,Glutamine,4293.519418
PH,Arginine,2534.64988
PH,Trehalose,-38.28768826
PH,Cellobiose,29.66117761
PH,Maltose,-0.992426514
PH,Sucrose,6136.98336
PH,Sucrose01,1004.026802
PH,Lactose,1.703420467
PH,Raffinose,-25.18742046
PH,Melezitose,21.82358694
PH,Arabinogalactan,182.5503137
PH,Isoleucine,5235.337605
PH,Uridine,-3.322145281
PH,Mix,5100.551611
PH,Water,0
